"filename", "language", "Python", "YAML", "Klipper Config", "JSON Lines", "comment", "blank", "total"
"/home/zoombie/下载/network-programming-homework/copy_dir.py", "Python", 135, 0, 0, 0, 26, 17, 178
"/home/zoombie/下载/network-programming-homework/env.yml", "YAML", 0, 99, 0, 0, 0, 0, 99
"/home/zoombie/下载/network-programming-homework/nomeeting/server/main.py", "Python", 12, 0, 0, 0, 0, 3, 15
"/home/zoombie/下载/network-programming-homework/nomeeting/server/media_manager.py", "Python", 64, 0, 0, 0, 9, 12, 85
"/home/zoombie/下载/network-programming-homework/nomeeting/server/room_manager.py", "Python", 56, 0, 0, 0, 10, 8, 74
"/home/zoombie/下载/network-programming-homework/nomeeting/server/signal_server.py", "Python", 75, 0, 0, 0, 12, 5, 92
"/home/zoombie/下载/network-programming-homework/tcp_copy_client.py", "Python", 60, 0, 0, 0, 3, 7, 70
"/home/zoombie/下载/network-programming-homework/tcp_copy_server.py", "Python", 106, 0, 0, 0, 9, 10, 125
"/home/zoombie/下载/network-programming-homework/worker/douban.jsonl", "JSON Lines", 0, 0, 0, 349, 0, 1, 350
"/home/zoombie/下载/network-programming-homework/worker/netease_male.jsonl", "JSON Lines", 0, 0, 0, 1135, 0, 1, 1136
"/home/zoombie/下载/network-programming-homework/worker/scrapy.cfg", "Klipper Config", 0, 0, 4, 0, 5, 3, 12
"/home/zoombie/下载/network-programming-homework/worker/worker/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/zoombie/下载/network-programming-homework/worker/worker/items.py", "Python", 3, 0, 0, 0, 6, 4, 13
"/home/zoombie/下载/network-programming-homework/worker/worker/middlewares.py", "Python", 34, 0, 0, 0, 43, 24, 101
"/home/zoombie/下载/network-programming-homework/worker/worker/pipelines.py", "Python", 4, 0, 0, 0, 5, 5, 14
"/home/zoombie/下载/network-programming-homework/worker/worker/settings.py", "Python", 12, 0, 0, 0, 62, 18, 92
"/home/zoombie/下载/network-programming-homework/worker/worker/spiders/__init__.py", "Python", 0, 0, 0, 0, 4, 1, 5
"/home/zoombie/下载/network-programming-homework/worker/worker/spiders/douban_top300.py", "Python", 143, 0, 0, 0, 19, 18, 180
"/home/zoombie/下载/network-programming-homework/worker/worker/spiders/netease_male.py", "Python", 54, 0, 0, 0, 11, 7, 72
"/home/zoombie/下载/network-programming-homework/worker/worker/spiders/worker_spider.py", "Python", 16, 0, 0, 0, 0, 4, 20
"Total", "-", 774, 99, 4, 1484, 224, 149, 2734